AccountNumber,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,Description,ExternalId__c,Industry,Interests__c,Name,NumberOfEmployees,Phone,Rating,Tradestyle,Type,Website
AC-000023,36407912,Sacramento,USA,,,,95814,,6896 Broadway Rd,Description for ACC_0023,ACC_0023,Banking,Consulting;Entertainment;Environmental,Apex Logistics 23,4915,700-208-7113,Warm,,Prospect,
AC-000024,80058672,Sacramento,USA,Address,38.591264,-121.464734,95814,CA,4987 Oak St,Description for ACC_0024,ACC_0024,Healthcare,Technology,Pacific Systems 24,,299-858-2728,Hot,,Customer,https://www.pacificsystems24.com
AC-000025,44308240,Los Angeles,USA,Address,34.000626,-118.205703,90001,CA,8440 Highland Dr,Description for ACC_0025,ACC_0025,Consulting,,Summit Enterprises 25,1077,,,,Prospect,
AC-000026,96491744,San Diego,USA,Address,32.681186,-117.146853,92101,CA,4239 Main Blvd,Description for ACC_0026,ACC_0026,Healthcare,Technology,Vantage Dynamics 26,937,(555) 882-2248,Hot,,Partner,https://www.vantagedynamics26.com
,73409909,San Francisco,USA,Address,37.792234,-122.380553,,CA,9856 Maple Ln,Description for ACC_0027,ACC_0027,Consulting,Consulting;Entertainment;Environmental,Blue Ventures 27,2250,(555) 589-0355,Cold,,Partner,https://www.blueventures27.com
AC-000028,42480349,Sacramento,USA,Address,,,95814,CA,,Description for ACC_0028,ACC_0028,Consulting,Other,River Systems 28,2629,555-504-7356,,,,
AC-000029,56820398,Fresno,USA,Address,36.694758,-119.826902,93701,CA,630 Maple Ln,Description for ACC_0029,ACC_0029,Consulting,Technology,Blue Solutions 29,557,160-587-3828,Hot,,Prospect,
AC-000030,80924648,San Francisco,USA,Address,37.807817,-122.378890,94105,CA,5719 Pine Blvd,Description for ACC_0030,ACC_0030,Technology,Technology,Apex Ventures 30,1437,552-433-9621,Hot,,,https://www.apexventures30.com
AC-000031,46818612,Sacramento,USA,Address,38.606504,-121.458504,95814,CA,8368 Elm St,,ACC_0031,Healthcare,Consulting;Entertainment;Environmental,Pacific Ventures 31,29,(555) 996-2876,Hot,,Customer,https://www.pacificventures31.com
AC-000032,,Palo Alto,USA,Address,37.458667,-122.116220,94301,CA,9953 Pine Dr,Description for ACC_0032,ACC_0032,Healthcare,Art,Blue Dynamics 32,3938,555-100-5430,Cold,,Customer,https://www.bluedynamics32.com
AC-000033,90800028,Oakland,USA,Address,37.787725,-122.232330,94601,CA,445 Pine Rd,Description for ACC_0033,ACC_0033,Technology,Technology,Stellar Logistics 33,4577,555-645-1807,Hot,,Customer,https://www.stellarlogistics33.com
,20749498,San Francisco,USA,Address,37.822113,-122.357127,94105,CA,9807 Highland St,Description for ACC_0034,ACC_0034,Technology,,River Solutions 34,3576,(555) 245-2432,Warm,,Customer,https://www.riversolutions34.com
AC-000035,33077842,,USA,Address,37.764508,-122.282001,94601,CA,9245 Pine St,Description for ACC_0035,ACC_0035,Banking,Technology,Summit Systems 35,4463,527-830-7733,,,Partner,https://www.summitsystems35.com
AC-000036,23669652,Irvine,USA,,,,92602,CA,374 Broadway St,Description for ACC_0036,ACC_0036,Healthcare,Other,Pacific Tech 36,735,197-584-1439,Hot,,Partner,https://www.pacifictech36.com
AC-000037,72874033,Los Angeles,,Address,34.014302,-118.249100,90001,CA,4349 Broadway Rd,Description for ACC_0037,ACC_0037,Healthcare,Consulting;Entertainment;Environmental,River Dynamics 37,4643,(555) 316-8284,Cold,Hooli,Prospect,https://www.riverdynamics37.com
AC-000038,90776403,Sacramento,USA,Address,38.598734,-121.456772,95814,,6445 Washington Dr,Description for ACC_0038,ACC_0038,Consulting,Art,Emerald Group 38,193,(555) 676-6912,Cold,,Partner,https://www.emeraldgroup38.com
AC-000039,60442934,San Jose,USA,Address,37.306083,-121.872558,95112,CA,9329 Washington Rd,Description for ACC_0039,ACC_0039,Consulting,Art,Summit Tech 39,,(555) 493-0944,Hot,,Customer,https://www.summittech39.com
AC-000040,70673486,Fresno,USA,Address,36.701526,-119.823835,93701,CA,5682 Washington Ln,Description for ACC_0040,ACC_0040,Healthcare,Art,Nova Group 40,4930,449-559-9547,Warm,Vandelay Industries,Partner,https://www.novagroup40.com
,,Sacramento,USA,Address,38.603756,-121.491447,95814,CA,2554 Maple Dr,Description for ACC_0041,ACC_0041,Consulting,Art,Apex Systems 41,340,555-539-4795,Warm,Vandelay Industries,Partner,https://www.apexsystems41.com
AC-000042,20185197,Fresno,USA,Address,36.693466,-119.793763,93701,,,Description for ACC_0042,ACC_0042,Technology,Other,Nova Dynamics 42,1094,555-881-5069,Cold,,Prospect,https://www.novadynamics42.com
AC-000043,40370900,Sacramento,USA,Address,38.563322,-121.532693,95814,CA,1998 Maple Ln,Description for ACC_0043,ACC_0043,,,Global Tech 43,4097,140-137-8937,Hot,,Partner,https://www.globaltech43.com
AC-000044,44195322,Los Angeles,,Address,34.018182,-118.272348,90001,CA,1836 Main Rd,Description for ACC_0044,ACC_0044,Banking,,River Dynamics 44,4488,555-264-3726,,,Customer,https://www.riverdynamics44.com
AC-000045,69337341,Los Angeles,USA,Address,34.078489,-118.247674,90001,CA,7683 Sunset St,Description for ACC_0045,ACC_0045,Consulting,Consulting;Entertainment;Environmental,Nova Solutions 45,,(555) 839-8558,Warm,,Prospect,https://www.novasolutions45.com
AC-000046,4414635,Oakland,USA,Address,37.784991,-122.230394,94601,CA,2218 Elm Ln,Description for ACC_0046,ACC_0046,Consulting,Technology,Stellar Ventures 46,2199,555-377-6320,Cold,,Partner,https://www.stellarventures46.com
,39204033,Fresno,USA,Address,36.745135,-119.774039,93701,CA,1148 Oak St,Description for ACC_0047,ACC_0047,Consulting,Other,Summit Enterprises 47,4565,333-816-3934,Warm,,Partner,https://www.summitenterprises47.com
AC-000048,46831392,Long Beach,USA,Address,,,,CA,4759 Washington Ln,Description for ACC_0048,ACC_0048,Healthcare,Technology,Pacific Ventures 48,4721,(555) 403-7198,Warm,,Prospect,https://www.pacificventures48.com
AC-000049,,Oakland,USA,Address,37.801753,-122.306012,94601,CA,6022 Pine St,Description for ACC_0049,ACC_0049,Technology,Technology,Global Dynamics 49,619,555-454-8931,Hot,Pied Piper,Prospect,https://www.globaldynamics49.com
AC-000050,54915500,Oakland,USA,,37.763889,-122.304403,94601,CA,3813 Sunset Ln,,ACC_0050,Technology,,Apex Ventures 50,4475,,,,Prospect,https://www.apexventures50.com
AC-000051,26353692,,USA,,,,90001,,3613 Main Ln,Description for ACC_0051,ACC_0051,Consulting,Art,Nova Logistics 51,1511,975-349-5011,Hot,,Prospect,https://www.novalogistics51.com
AC-000052,51424229,Irvine,,Address,33.724575,-117.770988,92602,CA,7457 Pine Rd,Description for ACC_0052,ACC_0052,Healthcare,,Emerald Ventures 52,4906,520-761-5817,Cold,Acme,Prospect,
AC-000053,72645389,San Jose,,Address,37.352308,-121.919434,95112,,,Description for ACC_0053,ACC_0053,Healthcare,Consulting;Entertainment;Environmental,Global Systems 53,1331,967-951-1888,Cold,Acme,Prospect,https://www.globalsystems53.com
AC-000054,65589937,San Jose,USA,Address,37.310651,-121.866058,,,7475 Oak Dr,Description for ACC_0054,ACC_0054,Banking,Art,River Systems 54,1541,332-628-2230,Hot,Umbrella Corp,Partner,https://www.riversystems54.com
,,San Francisco,USA,Address,,,94105,,6776 Sunset St,,ACC_0055,Technology,Art,Nova Solutions 55,2056,444-602-7159,Warm,,,https://www.novasolutions55.com
AC-000056,73606238,Sacramento,USA,Address,38.629702,-121.508939,95814,CA,,Description for ACC_0056,ACC_0056,Healthcare,Other,Nova Enterprises 56,3229,(555) 809-8180,Warm,,Partner,https://www.novaenterprises56.com
AC-000057,66178464,Palo Alto,USA,Address,,,94301,CA,6183 Elm Blvd,,ACC_0057,Consulting,,Pacific Logistics 57,1833,(555) 670-6011,Warm,,Customer,https://www.pacificlogistics57.com
AC-000058,44897899,San Jose,USA,Address,37.311482,-121.857744,,CA,3725 Oak Ln,Description for ACC_0058,ACC_0058,Healthcare,Technology,Summit Logistics 58,,(555) 828-5074,Cold,,Prospect,https://www.summitlogistics58.com
AC-000059,72591405,Sacramento,,Address,38.619222,-121.516230,95814,,104 Washington Dr,Description for ACC_0059,ACC_0059,Healthcare,Other,Summit Logistics 59,170,614-624-7746,Cold,Hooli,Prospect,https://www.summitlogistics59.com
AC-000060,10456263,Irvine,USA,Address,33.689813,-117.821601,92602,CA,2422 Broadway Blvd,Description for ACC_0060,ACC_0060,Healthcare,Technology,Vantage Group 60,4981,555-210-8186,Hot,,Customer,https://www.vantagegroup60.com
AC-000061,46541178,Irvine,USA,Address,33.661072,-117.745029,92602,CA,8340 Highland Ave,Description for ACC_0061,ACC_0061,Consulting,Consulting;Entertainment;Environmental,Stellar Ventures 61,434,(555) 572-1662,Hot,Vandelay Industries,Customer,https://www.stellarventures61.com
AC-000062,7529134,San Francisco,USA,Address,37.800695,-122.376651,94105,CA,8446 Main St,Description for ACC_0062,ACC_0062,Technology,Other,Global Group 62,423,959-635-3188,,,Partner,https://www.globalgroup62.com
AC-000063,49829299,Oakland,USA,Address,37.813535,-122.291174,94601,CA,2426 Main Dr,Description for ACC_0063,ACC_0063,Banking,Consulting;Entertainment;Environmental,Global Solutions 63,2051,(555) 900-4525,Cold,,Customer,https://www.globalsolutions63.com
AC-000064,11101020,Oakland,USA,Address,37.830004,-122.259318,94601,CA,8480 Oak Ave,Description for ACC_0064,ACC_0064,Healthcare,Technology,Global Tech 64,1176,555-557-2579,Hot,Initech,Partner,https://www.globaltech64.com
AC-000065,43145100,Fresno,USA,Address,36.723016,-119.774895,93701,,2623 Sunset Ave,Description for ACC_0065,ACC_0065,Technology,Consulting;Entertainment;Environmental,Nova Tech 65,1998,,Hot,Umbrella Corp,Prospect,https://www.novatech65.com
,17872501,San Jose,USA,Address,37.313067,-121.884309,95112,CA,,Description for ACC_0066,ACC_0066,Banking,,Emerald Tech 66,4500,555-952-1135,Hot,,Customer,https://www.emeraldtech66.com
AC-000067,33805088,San Diego,USA,Address,,,,CA,5337 Sunset St,Description for ACC_0067,ACC_0067,Technology,Technology,Stellar Enterprises 67,2038,(555) 729-0357,Hot,,Partner,https://www.stellarenterprises67.com
AC-000068,44242075,Long Beach,USA,Address,33.772396,-118.159575,90802,CA,1342 Broadway Ln,,ACC_0068,Technology,Consulting;Entertainment;Environmental,Vantage Logistics 68,380,686-161-3395,Cold,,Prospect,https://www.vantagelogistics68.com
AC-000069,35518054,Fresno,USA,Address,,,93701,CA,8542 Maple Ave,Description for ACC_0069,ACC_0069,Consulting,Technology,Stellar Dynamics 69,1906,555-293-2444,Hot,,Prospect,https://www.stellardynamics69.com
AC-000070,81524560,San Diego,USA,Address,32.715963,-117.110814,92101,CA,6825 Lake Dr,,ACC_0070,Consulting,Technology,River Tech 70,3479,644-356-1382,,,Partner,https://www.rivertech70.com
AC-000071,46091604,Los Angeles,USA,Address,34.069553,-118.280447,90001,CA,,Description for ACC_0071,ACC_0071,Banking,Technology,Global Ventures 71,,,Cold,,Partner,https://www.globalventures71.com
AC-000072,43345144,Palo Alto,USA,Address,37.397163,-122.090953,94301,CA,8479 Broadway Ln,Description for ACC_0072,ACC_0072,Consulting,Other,Apex Solutions 72,783,(555) 644-5179,Hot,,Prospect,https://www.apexsolutions72.com
AC-000073,97137821,Los Angeles,USA,Address,34.065507,-118.190661,,CA,8761 Maple St,Description for ACC_0073,ACC_0073,Healthcare,,Apex Enterprises 73,1456,,Warm,Acme,Customer,https://www.apexenterprises73.com
AC-000074,58565835,Fresno,,Address,36.734563,-119.810292,93701,,1395 Oak St,,ACC_0074,Healthcare,,Blue Ventures 74,2230,(555) 711-2028,,,Partner,https://www.blueventures74.com
AC-000075,,Palo Alto,USA,Address,37.462487,-122.132214,94301,CA,1250 Lake Ln,Description for ACC_0075,ACC_0075,Consulting,Technology,Stellar Logistics 75,1324,430-948-3799,Cold,,Prospect,https://www.stellarlogistics75.com
AC-000076,53400030,Los Angeles,USA,Address,34.019764,-118.269815,90001,CA,1807 Highland Rd,Description for ACC_0076,ACC_0076,Banking,Technology,Blue Solutions 76,768,,Cold,,Prospect,https://www.bluesolutions76.com
AC-000077,7008883,Fresno,USA,Address,36.717061,-119.772434,93701,CA,2202 Oak Blvd,Description for ACC_0077,ACC_0077,Healthcare,,Stellar Logistics 77,972,425-414-1135,Warm,,Partner,https://www.stellarlogistics77.com
AC-000078,78193403,Oakland,,Address,37.827472,-122.257401,94601,CA,2979 Elm Rd,Description for ACC_0078,ACC_0078,Banking,Art,Global Dynamics 78,,(555) 353-1883,Cold,Stark Industries,Partner,https://www.globaldynamics78.com
AC-000079,63561731,,USA,Address,38.571097,-121.477945,95814,CA,7579 Maple Ave,Description for ACC_0079,ACC_0079,,Technology,River Systems 79,3387,555-925-9803,Hot,,Prospect,https://www.riversystems79.com
AC-000080,,Long Beach,USA,Address,,,90802,CA,2506 Sunset Blvd,Description for ACC_0080,ACC_0080,Healthcare,Consulting;Entertainment;Environmental,Emerald Enterprises 80,4012,,Warm,,Prospect,https://www.emeraldenterprises80.com
AC-000081,40639744,Irvine,USA,Address,,,92602,CA,8556 Washington Blvd,Description for ACC_0081,ACC_0081,Banking,Art,Apex Systems 81,2274,392-656-3179,Cold,,Customer,https://www.apexsystems81.com
AC-000082,33933072,Irvine,USA,Address,,,92602,CA,5832 Sunset Ave,Description for ACC_0082,ACC_0082,Consulting,Other,Vantage Ventures 82,2516,122-256-5059,Cold,,,https://www.vantageventures82.com
AC-000083,64376953,Irvine,,Address,33.656091,-117.759878,92602,CA,6280 Maple Blvd,Description for ACC_0083,ACC_0083,Technology,Consulting;Entertainment;Environmental,Summit Dynamics 83,3585,(555) 978-4897,Cold,,Prospect,https://www.summitdynamics83.com
AC-000084,54167307,Fresno,USA,Address,36.700368,-119.796120,93701,CA,2140 Pine Dr,Description for ACC_0084,ACC_0084,Consulting,Consulting;Entertainment;Environmental,Vantage Solutions 84,,(555) 781-5893,Warm,,Prospect,https://www.vantagesolutions84.com
AC-000085,82803491,Irvine,USA,Address,33.667785,-117.780280,92602,CA,3882 Main Blvd,,ACC_0085,Consulting,Technology,Emerald Tech 85,4306,401-329-4441,Hot,Acme,Customer,
AC-000086,47458440,Oakland,USA,Address,37.835623,-122.314034,94601,CA,3711 Elm Ave,Description for ACC_0086,ACC_0086,Banking,Technology,Summit Logistics 86,1202,852-365-9235,,,Prospect,https://www.summitlogistics86.com
AC-000087,32051087,Palo Alto,,Address,37.425763,-122.127764,94301,,6573 Pine Ave,Description for ACC_0087,ACC_0087,Healthcare,Consulting;Entertainment;Environmental,Pacific Systems 87,2402,555-513-3955,Hot,,Partner,https://www.pacificsystems87.com
AC-000088,87765723,Fresno,,Address,36.779545,-119.763247,93701,CA,4923 Highland St,Description for ACC_0088,ACC_0088,Technology,Consulting;Entertainment;Environmental,Apex Ventures 88,3023,468-761-3223,Hot,,Customer,https://www.apexventures88.com
AC-000089,92705338,San Diego,USA,Address,32.729738,-117.176116,92101,,3711 Highland St,Description for ACC_0089,ACC_0089,Technology,,Stellar Logistics 89,1780,555-905-7225,Warm,,Customer,https://www.stellarlogistics89.com
AC-000090,,,USA,Address,,,,,6562 Sunset Blvd,Description for ACC_0090,ACC_0090,Healthcare,Consulting;Entertainment;Environmental,Pacific Enterprises 90,4157,,,,Partner,https://www.pacificenterprises90.com
AC-000091,12543729,Fresno,USA,,36.777582,-119.825433,93701,CA,5924 Elm Rd,Description for ACC_0091,ACC_0091,Technology,Other,Global Enterprises 91,4512,566-537-5565,Warm,,Prospect,https://www.globalenterprises91.com
AC-000092,79099538,San Jose,USA,Address,37.287382,-121.858182,95112,CA,303 Elm St,Description for ACC_0092,ACC_0092,Technology,Other,Apex Systems 92,3318,622-935-5851,Hot,,Prospect,https://www.apexsystems92.com
,36014346,Sacramento,USA,Address,38.602591,-121.497648,,CA,8294 Washington Dr,Description for ACC_0093,ACC_0093,Technology,Other,Apex Solutions 93,428,181-789-8461,Hot,,Prospect,https://www.apexsolutions93.com
AC-000094,28599370,Long Beach,,Address,,,90802,CA,7354 Highland Dr,Description for ACC_0094,ACC_0094,Consulting,Consulting;Entertainment;Environmental,Blue Dynamics 94,1360,555-166-6323,Warm,,Partner,https://www.bluedynamics94.com
AC-000095,45275596,Sacramento,USA,Address,38.580147,-121.442726,95814,CA,6628 Elm St,,ACC_0095,Consulting,Technology,Emerald Ventures 95,3541,,Hot,,Partner,https://www.emeraldventures95.com
AC-000096,95512990,Palo Alto,USA,Address,37.468520,-122.101836,94301,CA,,Description for ACC_0096,ACC_0096,Healthcare,Other,Stellar Solutions 96,263,816-442-5903,Hot,,Prospect,https://www.stellarsolutions96.com
AC-000097,17668701,Los Angeles,USA,Address,34.075387,-118.272264,90001,,514 Maple Dr,Description for ACC_0097,ACC_0097,Technology,Other,Summit Systems 97,4494,(555) 440-1533,Warm,,Partner,https://www.summitsystems97.com
AC-000098,11326331,Sacramento,USA,Address,38.627838,-121.471954,95814,CA,5092 Elm Rd,Description for ACC_0098,ACC_0098,Consulting,Technology,Apex Group 98,,555-164-2836,Cold,,Prospect,https://www.apexgroup98.com
AC-000099,48544334,Sacramento,,Address,38.603012,-121.474213,95814,CA,,Description for ACC_0099,ACC_0099,Technology,Other,River Solutions 99,3819,555-792-5737,,,,https://www.riversolutions99.com
AC-000100,51052026,Sacramento,USA,Address,38.598910,-121.458008,95814,CA,9929 Maple Rd,Description for ACC_0100,ACC_0100,Technology,Technology,Stellar Tech 100,1800,(555) 550-6948,Hot,,Customer,https://www.stellartech100.com
AC-000101,62531525,,USA,Address,32.731520,-117.160254,92101,CA,8235 Oak Rd,Description for ACC_0101,ACC_0101,,Art,Summit Tech 101,3648,(555) 275-7018,Hot,,Prospect,https://www.summittech101.com
AC-000102,98885582,Palo Alto,USA,Address,,,94301,CA,7090 Highland Ave,Description for ACC_0102,ACC_0102,Banking,Art,Global Group 102,584,,Hot,,,https://www.globalgroup102.com
AC-000103,71887246,San Francisco,USA,Address,37.785964,-122.389669,94105,CA,2094 Lake Ln,Description for ACC_0103,ACC_0103,,Technology,River Systems 103,,315-587-5904,Hot,,Prospect,https://www.riversystems103.com
AC-000104,23684221,Irvine,USA,Address,33.634318,-117.772709,,CA,5960 Maple Blvd,Description for ACC_0104,ACC_0104,Technology,Consulting;Entertainment;Environmental,Summit Solutions 104,316,278-767-8209,Cold,,Partner,https://www.summitsolutions104.com
,85748913,Los Angeles,USA,Address,,,90001,CA,3158 Main Rd,,ACC_0105,Healthcare,Other,Stellar Group 105,2153,555-941-4833,Warm,,,https://www.stellargroup105.com
AC-000106,38778762,San Jose,USA,Address,37.348752,-121.887095,95112,CA,,Description for ACC_0106,ACC_0106,,Technology,Pacific Systems 106,4271,341-538-2131,Hot,,Partner,https://www.pacificsystems106.com
AC-000107,,Long Beach,USA,,33.781699,-118.167835,90802,CA,2787 Washington Ln,Description for ACC_0107,ACC_0107,Healthcare,,Global Systems 107,,(555) 234-4398,Cold,,Prospect,https://www.globalsystems107.com
AC-000108,50700384,Oakland,USA,Address,37.780941,-122.275389,94601,CA,3701 Maple Ave,Description for ACC_0108,ACC_0108,Technology,Technology,Global Solutions 108,4126,(555) 246-1966,Cold,Stark Industries,Partner,https://www.globalsolutions108.com
AC-000109,,Long Beach,USA,Address,33.764958,-118.184862,90802,CA,,Description for ACC_0109,ACC_0109,Banking,,Stellar Group 109,3349,,Cold,Acme,Customer,https://www.stellargroup109.com
AC-000110,73225689,Fresno,USA,Address,36.741063,-119.800342,93701,CA,7155 Oak Dr,,ACC_0110,Banking,,Global Systems 110,2597,555-391-4574,Cold,,Partner,https://www.globalsystems110.com
AC-000111,84497661,Palo Alto,USA,Address,37.454721,-122.114402,94301,CA,7131 Lake Rd,Description for ACC_0111,ACC_0111,Consulting,Consulting;Entertainment;Environmental,Emerald Solutions 111,1618,(555) 804-5597,Cold,,Customer,https://www.emeraldsolutions111.com
AC-000112,22535839,,USA,Address,33.780805,-118.213781,,CA,7976 Maple Dr,Description for ACC_0112,ACC_0112,Consulting,Other,Emerald Group 112,4336,,Cold,Hooli,Partner,https://www.emeraldgroup112.com
AC-000113,71350144,Irvine,USA,Address,33.693287,-117.808219,92602,CA,,Description for ACC_0113,ACC_0113,Technology,,Apex Systems 113,3111,,Cold,,,https://www.apexsystems113.com
AC-000114,22299651,,USA,Address,32.685591,-117.190580,92101,,2765 Lake Ln,Description for ACC_0114,ACC_0114,,Other,Pacific Enterprises 114,1561,555-730-8471,Warm,,Prospect,https://www.pacificenterprises114.com
AC-000115,60673919,San Jose,USA,Address,37.372575,-121.850212,95112,CA,192 Broadway Rd,Description for ACC_0115,ACC_0115,Consulting,Art,Nova Ventures 115,173,112-341-5038,Warm,,Partner,https://www.novaventures115.com
AC-000116,4913346,,USA,Address,,,95814,CA,7326 Elm Rd,Description for ACC_0116,ACC_0116,Technology,Other,River Logistics 116,2636,911-596-7118,Hot,,Partner,https://www.riverlogistics116.com
AC-000117,13584021,San Jose,USA,,37.366098,-121.905715,95112,CA,5731 Sunset Blvd,Description for ACC_0117,ACC_0117,Healthcare,Consulting;Entertainment;Environmental,Global Tech 117,,(555) 674-7638,Cold,,Partner,https://www.globaltech117.com
,55665569,Sacramento,USA,Address,38.545606,-121.487471,,CA,4974 Washington St,Description for ACC_0118,ACC_0118,Healthcare,Other,Blue Tech 118,1433,661-146-9256,Hot,,Customer,https://www.bluetech118.com
AC-000119,13938287,Palo Alto,USA,,37.419843,-122.141210,94301,CA,9501 Washington Ln,Description for ACC_0119,ACC_0119,Healthcare,Consulting;Entertainment;Environmental,Stellar Ventures 119,1058,809-863-4013,,,Customer,https://www.stellarventures119.com
,,,,,,,,,,Pagination stress account (205 tasks),ACC_PAG_0205,,,Acme Corporation - Pagination Test,,,,,,
